Datetime,Open,High,Low,Close,intvwap,Volume,v,EMA,Cumulative_Volume,Cumulative_Value,VWAP,Captured_Price,Index,Price
06-02-2023 09:15,1658.95,1667.0,1649.35,1666.5,1660.72,1141396,1141396,1666.5,1141396,1895801686.2,1660.95,,1,1666.5
06-02-2023 09:30,1666.25,1669.0,1658.75,1665.3,1664.8,629967,1771363,1666.35,1771363,2944287262.65,1662.159174968654,,2,1665.3
06-02-2023 09:45,1666.0,1669.3,1661.9,1664.5,1666.13,244020,2015383,1666.1187499999999,2015383,3350637500.65,1662.5313901377556,,3,1664.5
06-02-2023 10:00,1664.85,1666.0,1660.15,1662.0,1663.09,204462,2219845,1665.60390625,2219845,3690599875.75,1662.5484552975545,,4,1662.0
06-02-2023 10:15,1661.95,1662.0,1652.1,1653.75,1656.54,179557,2399402,1664.1221679687499,2399402,3987937289.9,1662.0546660792982,,5,1653.75
06-02-2023 10:30,1654.0,1655.3,1648.05,1652.0,1651.42,199500,2598902,1662.6068969726562,2598902,4317468064.900001,1661.2662058438527,,6,1652.0
06-02-2023 10:45,1652.35,1653.0,1646.2,1651.15,1649.97,116440,2715342,1661.174784851074,2715342,4509607649.566668,1660.7880884126816,,7,1651.15
06-02-2023 11:00,1651.1,1653.75,1648.55,1650.0,1651.22,110854,2826196,1659.7779367446897,2826196,4692601737.633334,1660.3950106904597,1650.0,8,1650.0
06-02-2023 11:15,1649.15,1653.55,1649.15,1651.35,1651.6,91488,2917684,1658.7244446516036,2917684,4843680446.433334,1660.1113919236402,1651.35,9,1651.35
06-02-2023 11:30,1651.25,1652.25,1647.25,1649.9,1649.73,88595,3006279,1657.621389070153,3006279,4989844477.433334,1659.8075153481545,1649.9,10,1649.9
06-02-2023 11:45,1649.8,1652.0,1648.05,1651.85,1649.79,85300,3091579,1656.899965436384,3091579,5130643500.766667,1659.5543897686805,1651.85,11,1651.85
06-02-2023 12:00,1650.8,1653.0,1648.35,1649.1,1650.93,102472,3194051,1655.9249697568362,3194051,5299737671.566668,1659.252676794036,1649.1,12,1649.1
06-02-2023 12:15,1649.2,1651.05,1646.5,1649.45,1649.19,144092,3338143,1655.1155985372318,3338143,5537345379.566668,1658.810116752538,1649.45,13,1649.45
06-02-2023 12:30,1649.5,1652.7,1648.0,1649.95,1650.13,138033,3476176,1654.469898720078,3476176,5765129736.716667,1658.4688855560441,1649.95,14,1649.95
06-02-2023 12:45,1649.9,1654.9,1648.1,1654.2,1651.69,147045,3623221,1654.4361613800684,3623221,6008106894.716667,1658.2225855714203,1654.2,15,1654.2
06-02-2023 13:00,1654.15,1656.6,1652.2,1652.9,1654.06,150815,3774036,1654.2441412075598,3774036,6257539823.216667,1658.049849873363,1652.9,16,1652.9
06-02-2023 13:15,1652.95,1656.0,1652.65,1653.55,1654.18,148477,3922513,1654.1573735566146,3922513,6503130679.683333,1657.899076353178,1653.55,17,1653.55
06-02-2023 13:30,1653.8,1658.0,1652.25,1656.85,1655.54,166626,4089139,1654.4939518620379,4089139,6779013347.883333,1657.8094674412714,1656.85,18,1656.85
06-02-2023 13:45,1656.75,1658.0,1652.7,1656.35,1655.89,192911,4282050,1654.7259578792832,4282050,7098412875.4,1657.7136827921206,1656.35,19,1656.35
06-02-2023 14:00,1656.3,1658.0,1653.0,1655.6,1655.41,245659,4527709,1654.8352131443728,4527709,7505109538.533333,1657.5953840084098,1655.6,20,1655.6
06-02-2023 14:15,1655.55,1656.4,1653.0,1654.6,1655.06,198730,4726439,1654.8058115013262,4726439,7833941445.2,1657.4722418294195,1654.6,21,1654.6
06-02-2023 14:30,1654.65,1655.4,1652.65,1653.85,1654.35,136061,4862500,1654.6863350636604,4862500,8058981803.833333,1657.3741498886031,1653.85,22,1653.85
06-02-2023 14:45,1653.45,1656.0,1653.2,1656.0,1654.52,118200,4980700,1654.850543180703,4980700,8254610683.833333,1657.3193896105633,1656.0,23,1656.0
06-02-2023 15:00,1656.1,1658.0,1650.7,1651.05,1653.27,293353,5274053,1654.375475283115,5274053,8739596531.083332,1657.0930423117347,1651.05,24,1651.05
06-02-2023 15:15,1651.25,1659.4,1648.3,1659.4,1650.31,309099,17009,1655.0035408727256,5583152,9251371745.383331,1657.0159195707606,1659.4,25,1659.4
07-02-2023 09:15,1658.85,1659.65,1651.0,1658.1,1655.83,450662,467671,1655.390598263635,6033814,9997780682.883331,1656.9587134908918,1658.1,26,1658.1
07-02-2023 09:30,1658.0,1661.0,1654.75,1657.5,1657.72,241759,709430,1655.6542734806806,6275573,10398556665.133331,1656.9891968643074,1657.5,27,1657.5
07-02-2023 09:45,1657.6,1657.7,1653.0,1654.55,1654.99,147565,856995,1655.5162392955954,6423138,10642789037.216665,1656.9454116067045,1654.55,28,1654.55
07-02-2023 10:00,1654.45,1656.65,1652.0,1654.65,1654.83,136405,993400,1655.407959383646,6559543,10868462016.05,1656.8931732058163,1654.65,29,1654.65
07-02-2023 10:15,1654.25,1654.65,1649.0,1651.3,1650.99,157949,1151349,1654.89446446069,6717492,11129338481.9,1656.769889997636,1651.3,30,1651.3
07-02-2023 10:30,1650.85,1654.0,1649.6,1652.95,1651.99,87448,1238797,1654.651406403104,6804940,11273818610.033333,1656.7109496973276,1652.95,31,1652.95
07-02-2023 10:45,1653.0,1655.0,1651.45,1654.55,1653.09,90404,1329201,1654.638730602716,6895344,11423316691.366667,1656.6710364800751,1654.55,32,1654.55
